forks,stars,issues,users,commits,avg_phi,timeline
-0.7975871971467802,-0.9431894718328871,0.17122492599534722,486.0,8371.0,-1.0049441700692092,1958.0
0.0767993737668699,1.160217931217425,-0.3070881824916553,578.0,7475.0,0.09936324439309438,2178.0
-0.5324555008010159,-1.0776807921645617,0.06513991749822992,706.0,23083.0,-0.9186702472564685,4855.0
0.757486736730122,0.994314597027462,-0.8623284316432341,75.0,1342.0,1.7911444527420626,1278.0
1.0205397098686135,0.32600327579027116,1.403920317128517,2322.0,25171.0,-1.1103990698331412,4340.0
-0.6033210646853079,-1.0431367886547138,-0.44543295965456264,495.0,16587.0,-0.04719105780169379,3283.0
3.064302572291593,0.3305170255822246,-0.7270855553135759,1641.0,27488.0,0.3713005433107207,4099.0
-0.045278370951136994,1.230319229006743,-0.02915786783254101,286.0,2271.0,1.17759999349329,1406.0
-0.9971446250449462,0.9541514356133456,-0.5676478524845749,90.0,4639.0,0.14594421205130867,2768.0
0.049209047561252245,1.169337548144025,3.0466869984172105,1398.0,34593.0,-0.9132551521853252,2992.0
-1.0394749885384966,-1.9357538393491835,-0.525462001152388,238.0,4233.0,1.9827070229453045,2050.0
-0.5430380916744035,0.7144621099263476,-0.6724921006483927,121.0,3892.0,0.7465584155860076,2280.0
-0.25711916325591366,-0.8407549867583516,0.5664070921512754,1139.0,25199.0,-0.8380494241877681,7122.0
-0.4322988371778833,-0.6063163496048504,-0.8344113241439928,482.0,52223.0,-0.8500966566056457,4991.0
0.27938039905743245,-0.43249092394329586,-0.28227297582566296,1572.0,11882.0,-0.6320121065825367,2447.0
